author;location;citation;latitude;longitude;icon
Huotari Simo, Pylkkänen Tuomas,...and Hämäläinen Keijo;European Synchrotron Radiation Facility, France;Huotari, S., Pylkkänen, T., & Verbeni, R. et al.(2011, jul). Direct tomography with chemical-bond contrast. Nat. Mater., 489--493, Retrieved from: http://dx.doi.org/10.1038/nmat3031;45.208777777778;5.6900555555556;star
Lavagnino Zeno, Zanacchi Francesca Cella,...and Diaspro Alberto;Department of Physics, University of Genoa, Italy;Lavagnino, Z., Zanacchi, F., & Ronzitti, E. et al.(2013). Two-photon excitation selective plane illumination microscopy ({2PE-SPIM}) of highly scattering samples: characterization and application. Opt. Express, 5998--6008, Retrieved from: http://dx.doi.org/10.1364/OE.21.005998;44.4150065;8.9257537;star
Leischner Ulrich, Schierloh Anja,...and Dodt Hans-Ulrich;Max Planck Institute of Psychiatry, Munich, Germany;Leischner, U., Schierloh, A., & Zieglgänsberger, W. et al.(2010). Formalin-induced fluorescence reveals cell shape and morphology in biological tissue samples. PLoS One, e10391, 10.1371/journal.pone.0010391. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0010391;48.1399;11.4701;star
Taormina Michael J, Jemielita Matthew,...and Guillemin Karen;Department of Physics, University of Oregon, Eugene, USA;Taormina, M., Jemielita, M., & Stephens, W. et al.(2012, aug). Investigating bacterial-animal symbioses with light sheet microscopy. Biol. Bull., 7--20, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/22983029;44.0455;-123.0743;star
Ritter Jörg G, Spille Jan-Hendrik,...and Kubitscheck Ulrich;Institute of Physical and Theoretical Chemistry, Rheinische Friedrich-Wilhelms Universität Bonn, Germany;Ritter, J., Spille, J., & Kaminski, T. et al.(2010). A cylindrical zoom lens unit for adjustable optical sectioning in light sheet microscopy. Biomed. Opt. Express, 185--193, 10.1364/BOE.2.000185. Retrieved from: http://dx.doi.org/10.1364/BOE.2.000185;50.727055;7.087376;star
Palayret Matthieu, Armes Helen,...and Lee Steven F;Department of Chemistry, University of Cambridge, Lensfield Road, Cambridge, United Kingdom;Palayret, M., Armes, H., & Basu, S. et al.(2015). PLoS One, e0125438, 10.1371/journal.pone.0125438. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0125438;52.1981;0.1256;star
Silvestri Ludovico, Allegra Mascaro Anna Letizia,...and Pavone Francesco Saverio;European Laboratory for Non-Linear Spectroscopy, University of Florence, Italy;Silvestri, L., Allegra Mascaro, A., & Costantini, I. et al.(2014). Correlative two-photon and light sheet microscopy. Methods, 268--272, Retrieved from: http://dx.doi.org/10.1016/j.ymeth.2013.06.013;43.846144;11.374478;star
Reynaud Emmanuel G, Tomancak Pavel;School of Biology & Environmental Science, University College Dublin, Ireland;Reynaud, E., & Tomancak, P.(2010, aug). Meeting report: first light sheet based fluorescence microscopy workshop. Biotechnol. J., 798--804, Retrieved from: http://dx.doi.org/10.1002/biot.201000177;53.30762;-6.22209;star
Sena Giovanni, Frentz Zak,...and Leibler Stanislas;Department of Biology, Center for Genomics and Systems Biology, New York University, New York, New York, United States of America;Sena, G., Frentz, Z., & Birnbaum, K. et al.(2011). Quantitation of cellular dynamics in growing Arabidopsis roots with light sheet microscopy. PLoS One, e21303, 10.1371/journal.pone.0021303. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0021303;40.652939;-73.870182;star
Dean Kevin M, Roudot Philippe,...and Fiolka Reto;Department of Cell Biology, University of Texas Southwestern Medical Center, Dallas, Texas;Dean, K., Roudot, P., & Welf, E. et al.(2015). Deconvolution-free Subcellular Imaging with Axially Swept Light Sheet Microscopy. Biophys. J., 2807--2815, 10.1016/j.bpj.2015.05.013. Retrieved from: http://dx.doi.org/10.1016/j.bpj.2015.05.013;32.8126;-96.8384;star
Bagnat Michel, Navis Adam,...and Stainier Didier Y R;Department of Cell Biology, Duke University School of Medicine, Durham, USA;Bagnat, M., Navis, A., & Herbstreith, S. et al.(2010). Cse1l is a negative regulator of {CFTR-dependent} fluid secretion. Curr. Biol., 1840--1845, 10.1016/j.cub.2010.09.012. Retrieved from: http://dx.doi.org/10.1016/j.cub.2010.09.012;36.0007;-78.9403;star
Wang Hao;Department of Botany, College of Life Sciences, South China Agricultural University, China;Wang, H.(2016). Visualizing Plant Cells in a Brand New Way. Mol. Plant, 633--635, Retrieved from: http://dx.doi.org/10.1016/j.molp.2016.02.006;35.486703;101.901875;star
Royer Loic A, Weigert Martin,...and Myers Eugene W; Dresden, Germany;Royer, L., Weigert, M., & Günther, U. et al.(2015, jun). {ClearVolume}: open-source live {3D} visualization for light-sheet microscopy. Nat. Methods, 480--481, Retrieved from: http://dx.doi.org/10.1038/nmeth.3372;51.03333;13.73333;star
Buytaert Jan A N, Descamps Emilie,...and Dirckx Joris J J;Laboratory of Biomedical Physics, University of Antwerp, Belgium;Buytaert, J., Descamps, E., & Adriaens, D. et al.(2012). The {OPFOS} Microscopy Family: {High-Resolution} Optical Sectioning of Biomedical Specimens. Anat. Res. Int., 206238, 10.1155/2012/206238. Retrieved from: http://dx.doi.org/10.1155/2012/206238;51.248304;4.75729;star
Li Yu, Hu Ying, Cang Hu;Waitt Advanced Biophotonics Center, Salk Institute for Biological Studies, La Jolla, United States;Li, Y., Hu, Y., & Cang, H.(2013). Light sheet microscopy for tracking single molecules on the apical surface of living cells. J. Phys. Chem. B, 15503--15511, Retrieved from: http://dx.doi.org/10.1021/jp405380g;32.887151;-117.246212;star
Bruns Thomas, Schickinger Sarah, Schneckenburger Herbert;Institute of Applied Research, Aalen University;Bruns, T., Schickinger, S., & Schneckenburger, H.(2014). Single plane illumination module and micro-capillary approach for a wide-field microscope. J. Vis. Exp., e51993, Retrieved from: http://dx.doi.org/10.3791/51993;48.83722;10.09361;star
Niedworok Christian J, Schwarz Inna,...and Schwarz Martin K;Department of Molecular Neuroscience, Max Planck Institute for Medical Research, Germany;Niedworok, C., Schwarz, I., & Ledderose, J. et al.(2012). Charting monosynaptic connectivity maps by two-color light-sheet fluorescence microscopy. Cell Rep., 1375--1386, Retrieved from: http://dx.doi.org/10.1016/j.celrep.2012.10.008;51.133481;10.018343;star
Spille Jan-Hendrik, Kaminski Tim,...and Kubitscheck Ulrich;Institute of Physical and Theoretical Chemistry, Rheinische Friedrich-Wilhelms Universität Bonn, Germany;Spille, J., Kaminski, T., & Königshoven, H. et al.(2012). Dynamic three-dimensional tracking of single fluorescent nanoparticles deep inside living tissue. Opt. Express, 19697--19707, Retrieved from: http://dx.doi.org/10.1364/OE.20.019697;50.727055;7.087376;star
Bosse Jens B, Hogue Ian B,...and Enquist Lynn W;Department of Molecular Biology, Princeton University, Princeton;Bosse, J., Hogue, I., & Feric, M. et al.(2015). Remodeling nuclear architecture allows efficient transport of herpesvirus capsids by diffusion. Proc. Natl. Acad. Sci. U. S. A., E5725--33, 10.1073/pnas.1513876112. Retrieved from: http://dx.doi.org/10.1073/pnas.1513876112;51.523386;-0.132909;star
Guan Zeyi, Lee Juhyun,...and Fei Peng;Mechanical and Aerospace Engineering, University of California, Los Angeles, Los Angeles, USA;Guan, Z., Lee, J., & Jiang, H. et al.(2016). Compact plane illumination plugin device to enable light sheet fluorescence imaging of multi-cellular organisms on an inverted wide-field microscope. Biomed. Opt. Express, 194--208, 10.1364/BOE.7.000194. Retrieved from: http://dx.doi.org/10.1364/BOE.7.000194;34.494944444444;-82.709027777778;star
Yang Zhengyi, Haslehurst Peter,...and Dholakia Kishan;SUPA, School of Physics &Astronomy, University of St Andrews, St Andrews, United Kingdom;Yang, Z., Haslehurst, P., & Scott, S. et al.(2016). A compact light-sheet microscope for the study of the mammalian central nervous system. Sci. Rep., 26317, Retrieved from: http://dx.doi.org/10.1038/srep26317;56.3403;-2.7954;star
Huisken Jan, Stainier Didier Y R;Department of Biochemistry and Biophysics, University of California San Francisco, San Francisco, USA;Huisken, J., & Stainier, D.(2007). Even fluorescence excitation by multidirectional selective plane illumination microscopy ({mSPIM}). Opt. Lett., 2608--2610, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/17767321;37.763319444444;-122.45853888889;star
